learningRate, 5.0E-4
1, 13.0
2, 11.0
3, 10.0
4, 7.0
5, 11.0
learningRate, 0.001
1, 11.0
2, 15.0
3, 6.0
4, 8.0
5, 8.0
learningRate, 0.005
1, 24.0
2, 24.0
3, 31.0
4, 35.0
5, 27.0
learningRate, 0.01
1, 41.0
2, 30.0
3, 36.0
4, 48.0
5, 46.0
learningRate, 0.05
1, 43.0
2, 46.0
3, 34.0
4, 36.0
5, 37.0
temperature, 0.5
1, 46.0
2, 17.0
3, 41.0
4, 34.0
5, 34.0
temperature, 1.0
1, 30.0
2, 42.0
3, 43.0
4, 46.0
5, 33.0
temperature, 2.0
1, 41.0
2, 49.0
3, 40.0
4, 39.0
5, 44.0
temperature, 4.0
1, 42.0
2, 43.0
3, 38.0
4, 37.0
5, 47.0
temperature, 8.0
1, 48.0
2, 36.0
3, 43.0
4, 44.0
5, 35.0
hiddenNodes, 25.0
1, 27.0
2, 43.0
3, 29.0
4, 30.0
5, 46.0
hiddenNodes, 50.0
1, 28.0
2, 29.0
3, 34.0
4, 48.0
5, 37.0
hiddenNodes, 100.0
1, 37.0
2, 39.0
3, 47.0
4, 30.0
5, 32.0
hiddenNodes, 150.0
1, 38.0
2, 29.0
3, 26.0
4, 22.0
5, 46.0
hiddenNodes, 200.0
1, 44.0
2, 43.0
3, 48.0
4, 37.0
5, 30.0
hiddenLayers, 1.0
1, 41.0
2, 34.0
3, 42.0
4, 36.0
5, 41.0
hiddenLayers, 2.0
1, 30.0
2, 56.0
3, 42.0
4, 39.0
5, 42.0
hiddenLayers, 3.0
1, 34.0
2, 46.0
3, 27.0
4, 47.0
5, 41.0
learningRateSigmoid, 5.0E-4
1, 5.0
2, 13.0
3, 8.0
4, 9.0
5, 10.0
learningRateSigmoid, 0.001
1, 11.0
2, 14.0
3, 15.0
4, 12.0
5, 8.0
learningRateSigmoid, 0.005
1, 29.0
2, 41.0
3, 37.0
4, 31.0
5, 31.0
learningRateSigmoid, 0.01
1, 37.0
2, 37.0
3, 36.0
4, 28.0
5, 45.0
learningRateSigmoid, 0.05
1, 36.0
2, 36.0
3, 37.0
4, 49.0
5, 34.0
temperature, 0.5
1, 44.0
2, 33.0
3, 48.0
4, 43.0
5, 25.0
temperature, 1.0
1, 25.0
2, 37.0
3, 48.0
4, 41.0
5, 34.0
temperature, 2.0
1, 31.0
2, 29.0
3, 31.0
4, 37.0
5, 33.0
temperature, 4.0
1, 31.0
2, 50.0
3, 48.0
4, 40.0
5, 36.0
temperature, 8.0
1, 45.0
2, 32.0
3, 46.0
4, 41.0
5, 48.0
hiddenNodes, 25.0
1, 20.0
2, 28.0
3, 34.0
4, 44.0
5, 42.0
hiddenNodes, 50.0
1, 53.0
2, 34.0
3, 43.0
4, 38.0
5, 52.0
hiddenNodes, 100.0
1, 41.0
2, 41.0
3, 42.0
4, 53.0
5, 30.0
hiddenNodes, 150.0
1, 28.0
2, 39.0
3, 39.0
4, 37.0
5, 41.0
hiddenNodes, 200.0
1, 46.0
2, 38.0
3, 39.0
4, 31.0
5, 48.0
hiddenLayers, 1.0
1, 30.0
2, 42.0
3, 34.0
4, 51.0
5, 46.0
hiddenLayers, 2.0
1, 46.0
2, 30.0
3, 41.0
4, 38.0
5, 55.0
hiddenLayers, 3.0
1, 34.0
2, 44.0
3, 22.0
4, 45.0
5, 53.0
